INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-01-03;EESR;2.064;0.16
MICEXINDEXCF;2001-01-03;INUR;42;0.044
MICEXINDEXCF;2001-01-03;IRGZ;1.871;0.022
MICEXINDEXCF;2001-01-03;LKOH;240.391;0.505
MICEXINDEXCF;2001-01-03;MSNG;0.644;0.035
MICEXINDEXCF;2001-01-03;NKEL;193;0.076
MICEXINDEXCF;2001-01-03;RTKM;23.39;0.034
MICEXINDEXCF;2001-01-03;SAGO;0.345;0.001
MICEXINDEXCF;2001-01-03;SBER;654.202;0.015
MICEXINDEXCF;2001-01-03;SIBN;8.8;0.017
MICEXINDEXCF;2001-01-03;TATN;9.49;0.058
MICEXINDEXCF;2001-01-03;YUKO;46.698;0.032
MICEXINDEXCF;2001-01-04;EESR;2.26;0.162
MICEXINDEXCF;2001-01-04;INUR;45;0.044
MICEXINDEXCF;2001-01-04;IRGZ;1.941;0.022
MICEXINDEXCF;2001-01-04;LKOH;262.119;0.51
MICEXINDEXCF;2001-01-04;MSNG;0.687;0.035
MICEXINDEXCF;2001-01-04;NKEL;204.181;0.075
MICEXINDEXCF;2001-01-04;RTKM;24.962;0.033
MICEXINDEXCF;2001-01-04;SAGO;0.345;0
MICEXINDEXCF;2001-01-04;SBER;695.044;0.014
MICEXINDEXCF;2001-01-04;SIBN;8.8;0.015
MICEXINDEXCF;2001-01-04;TATN;9.998;0.057
MICEXINDEXCF;2001-01-04;YUKO;50.193;0.032
MICEXINDEXCF;2001-01-05;EESR;2.346;0.164
MICEXINDEXCF;2001-01-05;INUR;45;0.042
MICEXINDEXCF;2001-01-05;IRGZ;1.973;0.021
MICEXINDEXCF;2001-01-05;LKOH;272.15;0.515
MICEXINDEXCF;2001-01-05;MSNG;0.702;0.035
MICEXINDEXCF;2001-01-05;NKEL;206.589;0.074
MICEXINDEXCF;2001-01-05;RTKM;25.159;0.033
MICEXINDEXCF;2001-01-05;SAGO;0.345;0
MICEXINDEXCF;2001-01-05;SBER;703.683;0.014
MICEXINDEXCF;2001-01-05;SIBN;8.7;0.015
MICEXINDEXCF;2001-01-05;TATN;10.003;0.055
MICEXINDEXCF;2001-01-05;YUKO;50.784;0.032
MICEXINDEXCF;2001-01-09;EESR;2.325;0.16
MICEXINDEXCF;2001-01-09;INUR;56;0.052
MICEXINDEXCF;2001-01-09;IRGZ;1.959;0.021
